TC ID,Module,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority
CRM_DASHBOARD_TC_011,Dashboard,Badge số lượng Todo hiển thị đúng định dạng,"Đã đăng nhập, đang ở trang Dashboard",1. Quan sát badge số trên icon Todo,N/A,1. Badge hiển thị một số nguyên không âm (ví dụ quan sát được: 5) — KHÔNG assert giá trị cố định vì là dữ liệu động,Low
CRM_DASHBOARD_TC_012,Dashboard,Click icon Timers mở dropdown đúng nội dung,"Đã đăng nhập, đang ở trang Dashboard",1. Click icon Timers trên Header,N/A,"1. Dropdown hiển thị danh sách timer đang chạy, hoặc thông báo ""No started timers found"" kèm nút ""Start Timer"" nếu không có timer nào",Low
CRM_DASHBOARD_TC_013,Dashboard,Click icon Notifications mở dropdown,"Đã đăng nhập, đang ở trang Dashboard",1. Click icon Notifications trên Header,N/A,"1. Dropdown thông báo hiển thị, có tổng số thông báo chưa đọc",Low
CRM_DASHBOARD_TC_014,Dashboard,Click avatar mở dropdown tài khoản đầy đủ các mục,"Đã đăng nhập, đang ở trang Dashboard",1. Click avatar tài khoản trên Header,N/A,"1. Dropdown hiển thị đủ: My Profile, My Timesheets, Edit Profile, Language, Logout",Medium
CRM_DASHBOARD_TC_015,Dashboard,"Click ""My Profile"" điều hướng đúng trang","Đã đăng nhập, đang ở trang Dashboard","1. Mở dropdown avatar<br>2. Click ""My Profile""",N/A,2. Điều hướng đến https://crm.anhtester.com/admin/profile,Medium
CRM_DASHBOARD_TC_016,Dashboard,"Submenu ""Language"" hiển thị đủ danh sách ngôn ngữ, English đang active","Đã đăng nhập, đang ở trang Dashboard","1. Mở dropdown avatar<br>2. Hover/click vào ""Language""",N/A,"2. Submenu hiển thị đủ 20 ngôn ngữ (English, Vietnamese, Chinese...); mục ""English"" đang ở trạng thái active (class ""active"")",Low
CRM_DASHBOARD_TC_017,Dashboard,Click các mục Sidebar không có submenu điều hướng đúng URL tương ứng,"Đã đăng nhập, đang ở trang Dashboard",Với từng mục trong cột Test Data: Click vào mục trên Sidebar và quan sát URL sau điều hướng,Customers→/admin/clients; Projects→/admin/projects; Tasks→/admin/tasks; Contracts→/admin/contracts; Subscriptions→/admin/subscriptions; Expenses→/admin/expenses; Support→/admin/tickets; Leads→/admin/leads; Estimate Request→/admin/estimate_request; Knowledge Base→/admin/knowledge_base,"Mỗi mục điều hướng chính xác đến URL tương ứng, trang đích tải thành công (không lỗi 404/500)",Critical
CRM_DASHBOARD_TC_018,Dashboard,"Click ""Sales"" trên Sidebar mở rộng submenu, không điều hướng ngay","Đã đăng nhập, đang ở trang Dashboard","1. Click mục ""Sales"" trên Sidebar",N/A,"1. Submenu mở rộng hiển thị đủ: Proposals, Estimates, Invoices, Payments, Credit Notes, Items; URL trang KHÔNG đổi (href=""#"")",Medium
CRM_DASHBOARD_TC_019,Dashboard,"Click ""Utilities"" trên Sidebar mở rộng submenu, không điều hướng ngay","Đã đăng nhập, đang ở trang Dashboard","1. Click mục ""Utilities"" trên Sidebar",N/A,"1. Submenu mở rộng hiển thị đủ: Media, Bulk PDF Export, Calendar; URL trang KHÔNG đổi",Medium
CRM_DASHBOARD_TC_020,Dashboard,"Click ""Reports"" trên Sidebar mở rộng submenu, không điều hướng ngay","Đã đăng nhập, đang ở trang Dashboard","1. Click mục ""Reports"" trên Sidebar",N/A,"1. Submenu mở rộng hiển thị đủ: Sales, Expenses, Expenses vs Income, Leads, Timesheets overview, KB Articles; URL trang KHÔNG đổi",Medium
CRM_DASHBOARD_TC_021,Dashboard,"Widget ""Quick Statistics"" hiển thị đủ 4 chỉ số đúng tên và định dạng","Đã đăng nhập, đang ở trang Dashboard","1. Quan sát widget ""Quick Statistics"" ở đầu khu vực Content",N/A,"1. Hiển thị đủ 4 chỉ số: ""Invoices Awaiting Payment"", ""Converted Leads"", ""Projects In Progress"", ""Tasks Not Finished"" — mỗi chỉ số theo định dạng ""x / y"" kèm progress bar. KHÔNG assert giá trị x/y cụ thể (dữ liệu động)",High
CRM_DASHBOARD_TC_022,Dashboard,"Progress bar trong widget ""Quick Statistics"" có giá trị phần trăm hợp lệ","Đã đăng nhập, đang ở trang Dashboard","1. Quan sát thuộc tính data-percent / aria-valuenow của từng progress bar trong widget ""Quick Statistics""",N/A,"1. Mỗi progress bar có giá trị nằm trong khoảng 0–100 (không âm, không vượt quá 100)",Medium
CRM_DASHBOARD_TC_023,Dashboard,"Nút ""Dashboard Options"" hiển thị và có thể tương tác","Đã đăng nhập, đang ở trang Dashboard","1. Quan sát và click nút ""Dashboard Options"" phía trên khu vực Content",N/A,"1. Nút hiển thị rõ ràng kèm icon, có thể click được (không assert sâu hành vi tùy chỉnh widget — ngoài phạm vi)",Low
CRM_DASHBOARD_TC_024,Dashboard,Đăng xuất từ Dashboard quay lại trang Login,"Đã đăng nhập, đang ở trang Dashboard","1. Mở dropdown avatar<br>2. Click ""Logout""",N/A,"2. Phiên đăng nhập kết thúc, hệ thống điều hướng về lại trang https://crm.anhtester.com/admin/authentication (trang Login)",Critical
CRM_DASHBOARD_TC_025,Dashboard,"Widget ""Finance Overview"" hiển thị đủ 3 khối overview đúng trạng thái","Đã đăng nhập, đang ở trang Dashboard","1. Quan sát widget ""Finance Overview""",N/A,"1. Hiển thị đủ 3 khối: Invoice overview (Draft/Not Sent/Unpaid/Partially Paid/Overdue/Paid), Estimate overview (Draft/Not Sent/Sent/Expired/Declined/Accepted), Proposal overview (Draft/Sent/Open/Revised/Declined/Accepted)",High
CRM_DASHBOARD_TC_026,Dashboard,"Click trạng thái ""Unpaid"" trong Invoice overview điều hướng đúng URL filter","Đã đăng nhập, đang ở trang Dashboard","1. Click vào trạng thái ""Unpaid"" trong Invoice overview",N/A,"1. Điều hướng đến https://crm.anhtester.com/admin/invoices/list_invoices?status=1",Medium
CRM_DASHBOARD_TC_027,Dashboard,"Dropdown chọn năm trong Finance Overview hiển thị đủ option và mặc định đúng năm hiện tại","Đã đăng nhập, đang ở trang Dashboard","1. Quan sát dropdown chọn năm trong Finance Overview",N/A,"1. Dropdown có 3 option năm gần nhất (vd. 2026/2025/2024), option năm hiện tại của hệ thống đang được chọn mặc định",Medium
CRM_DASHBOARD_TC_028,Dashboard,"Đổi năm trong dropdown Finance Overview cập nhật lại 3 chỉ số tài chính","Đã đăng nhập, đang ở trang Dashboard","1. Chọn 1 năm khác trong dropdown Finance Overview",Năm: 2025,"1. 3 chỉ số Outstanding/Past Due/Paid Invoices vẫn hiển thị đúng định dạng tiền tệ ""$x.xx"" — KHÔNG assert giá trị cụ thể (dữ liệu động)",Low
CRM_DASHBOARD_TC_029,Dashboard,"Widget Overview theo tab hiển thị đủ 5 tab, tab ""My Tasks"" active mặc định","Đã đăng nhập, đang ở trang Dashboard","1. Quan sát widget tab Overview (My Tasks/My Projects/My Reminders/Tickets/Announcements)",N/A,"1. Hiển thị đủ 5 tab; tab ""My Tasks"" đang active mặc định, bảng hiển thị đủ cột #, Name, Status, Start Date, Tags, Priority",High
CRM_DASHBOARD_TC_030,Dashboard,"Click từng tab chuyển đúng nội dung panel tương ứng","Đã đăng nhập, đang ở trang Dashboard","1. Lần lượt click các tab: My Projects, My Reminders, Tickets, Announcements",N/A,"1. Mỗi lần click, tab được chọn chuyển sang trạng thái active (li cha có class ""active""), tabpanel tương ứng hiển thị đúng",Medium
CRM_DASHBOARD_TC_031,Dashboard,"Click ""View All"" trong tab My Tasks điều hướng đúng trang danh sách Task","Đã đăng nhập, đang ở trang Dashboard, tab ""My Tasks"" đang active","1. Click link ""View All""",N/A,"1. Điều hướng đến https://crm.anhtester.com/admin/tasks/list_tasks",Medium
CRM_DASHBOARD_TC_032,Dashboard,"Widget Calendar hiển thị đúng tháng/năm hiện tại và đủ 7 cột thứ","Đã đăng nhập, đang ở trang Dashboard","1. Quan sát widget Calendar",N/A,"1. Tiêu đề hiển thị đúng tháng-năm hiện tại của hệ thống (vd. ""August 2026""); header hiển thị đủ 7 cột: Sun, Mon, Tue, Wed, Thu, Fri, Sat",High
CRM_DASHBOARD_TC_033,Dashboard,"Chuyển view Calendar (week/day/month) hoạt động đúng","Đã đăng nhập, đang ở trang Dashboard","1. Click nút ""week""<br>2. Click nút ""day""<br>3. Click nút ""month""",N/A,"1-3. Sau mỗi lần click, nút tương ứng nhận class ""fc-button-active""; Calendar không lỗi, vẫn hiển thị đúng",Medium
CRM_DASHBOARD_TC_034,Dashboard,"Widget ""Payment Records"" hiển thị đúng tiêu đề và link Full Report điều hướng đúng trang","Đã đăng nhập, đang ở trang Dashboard","1. Quan sát widget Payment Records<br>2. Click link ""Full Report""",N/A,"1. Tiêu đề ""Payment Records"" hiển thị<br>2. Điều hướng đến https://crm.anhtester.com/admin/reports/sales",Medium
CRM_DASHBOARD_TC_035,Dashboard,"Dropdown chế độ biểu đồ Payment Records chuyển đổi Weekly/Monthly đúng","Đã đăng nhập, đang ở trang Dashboard","1. Click dropdown chế độ (mặc định ""Weekly"")<br>2. Chọn ""Monthly""",N/A,"1. Dropdown mở ra đủ 2 option: Weekly, Monthly<br>2. Label dropdown cập nhật thành ""Monthly""",Low
CRM_DASHBOARD_TC_036,Dashboard,"Widget ""Contracts Expiring Soon"" hiển thị đúng cột và link View All điều hướng đúng trang","Đã đăng nhập, đang ở trang Dashboard","1. Quan sát bảng trong widget<br>2. Click link ""View All""",N/A,"1. Bảng hiển thị đủ cột: Subject #, Customer, Start Date, End Date<br>2. Điều hướng đến https://crm.anhtester.com/admin/contracts",Medium
CRM_DASHBOARD_TC_037,Dashboard,"Widget ""My To Do Items"" hiển thị đủ 2 khối Latest to do's / Latest finished to do's","Đã đăng nhập, đang ở trang Dashboard","1. Quan sát widget My To Do Items",N/A,"1. Hiển thị đủ 2 heading: ""Latest to do's"" và ""Latest finished to do's""",Medium
CRM_DASHBOARD_TC_038,Dashboard,"Click ""New To Do"" mở modal thêm To Do mới","Đã đăng nhập, đang ở trang Dashboard","1. Click link ""New To Do"" trong widget My To Do Items",N/A,"1. Modal ""Add New Todo"" hiển thị (role dialog), có textbox Description và nút Close/Save",Medium
CRM_DASHBOARD_TC_039,Dashboard,"Click ""View All"" trong widget My To Do Items điều hướng đúng trang","Đã đăng nhập, đang ở trang Dashboard","1. Click link ""View All"" trong widget My To Do Items",N/A,"1. Điều hướng đến https://crm.anhtester.com/admin/todo",Medium
CRM_DASHBOARD_TC_040,Dashboard,"Widget ""Leads Chart"" hiển thị đúng tiêu đề và render biểu đồ","Đã đăng nhập, đang ở trang Dashboard","1. Cuộn trang đến widget Leads Chart",N/A,"1. Tiêu đề ""Leads Overview"" hiển thị; đúng 1 phần tử canvas được render sau khi widget vào viewport",Low
CRM_DASHBOARD_TC_041,Dashboard,"Widget ""Projects Chart"" hiển thị đúng tiêu đề và render biểu đồ","Đã đăng nhập, đang ở trang Dashboard","1. Cuộn trang đến widget Projects Chart",N/A,"1. Tiêu đề ""Statistics by Project Status"" hiển thị; đúng 1 phần tử canvas được render sau khi widget vào viewport",Low
CRM_DASHBOARD_TC_042,Dashboard,"Widget ""Latest Project Activity"" hiển thị danh sách hoạt động gần nhất","Đã đăng nhập, đang ở trang Dashboard","1. Quan sát widget Latest Project Activity",N/A,"1. Tiêu đề ""Latest Project Activity"" hiển thị; có ít nhất 1 mục hoạt động, mỗi mục có mốc thời gian tương đối và link Project — KHÔNG assert nội dung cụ thể (dữ liệu động)",Low
CRM_DASHBOARD_TC_043,Dashboard,"Widget ""Staff Tickets Report"" và ""Tickets Chart"" tồn tại trong DOM ở trạng thái không dữ liệu","Đã đăng nhập, đang ở trang Dashboard, tài khoản demo không có dữ liệu ticket","1. Quan sát container 2 widget trên trong DOM",N/A,"1. Container tồn tại (attached) trong DOM nhưng không render nội dung/canvas nào — ghi nhận là giới hạn dữ liệu demo, không phải lỗi hiển thị",Low
CRM_DASHBOARD_TC_044,Dashboard,"Widget ""Upcoming Events"" không hiển thị trên Dashboard với cấu hình hiện tại","Đã đăng nhập, đang ở trang Dashboard","1. Quan sát widget Upcoming Events trong DOM",N/A,"1. Widget bị ẩn (hidden/display:none) theo cấu hình Dashboard Options hiện tại của tài khoản",Low
