TC ID,Module,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority
CRM_LOGIN_TC_013,Login,[Boundary] Email vượt quá độ dài thông thường (~300 ký tự),Truy cập trang Login lần đầu,"1. Truy cập trang Login<br>2. Nhập Email: chuỗi 290 ký tự 'a' + ""@example.com"" (tổng ~300 ký tự)<br>3. Nhập Password: 123456<br>4. Nhấn nút ""Login""",Email: [290 ký tự 'a']@example.com; Password: 123456,"4. Hệ thống xử lý ổn định — từ chối do vượt giới hạn hợp lý hoặc báo lỗi định dạng rõ ràng, KHÔNG gây lỗi 500/crash trang",Low
CRM_LOGIN_TC_014,Login,[Validation Email] Email có khoảng trắng ở đầu và cuối,Truy cập trang Login lần đầu,"1. Truy cập trang Login<br>2. Nhập Email: ""  admin@example.com  "" (2 khoảng trắng đầu, 2 khoảng trắng cuối)<br>3. Nhập Password: 123456<br>4. Nhấn nút ""Login""","Email: ""  admin@example.com  ""; Password: 123456","4. Hệ thống tự động trim khoảng trắng và đăng nhập thành công, HOẶC báo lỗi định dạng rõ ràng (không được đăng nhập sai hoặc treo trang)",Medium
CRM_LOGIN_TC_015,Login,[Validation Email] Email không phân biệt chữ hoa/thường,Tài khoản admin@example.com/123456 tồn tại trên hệ thống,"1. Truy cập trang Login<br>2. Nhập Email: ADMIN@EXAMPLE.COM<br>3. Nhập Password: 123456<br>4. Nhấn nút ""Login""",Email: ADMIN@EXAMPLE.COM; Password: 123456,4. Đăng nhập thành công tương tự như nhập email viết thường (redirect đến Dashboard),Medium
CRM_LOGIN_TC_016,Login,[Security] Email chứa mã XSS injection,Truy cập trang Login lần đầu,"1. Truy cập trang Login<br>2. Nhập Email: <script>alert(1)</script>@example.com<br>3. Nhập Password: 123456<br>4. Nhấn nút ""Login""",Email: <script>alert(1)</script>@example.com; Password: 123456,"4. Hệ thống KHÔNG thực thi đoạn script (không xuất hiện popup alert), hiển thị lỗi định dạng email hợp lệ, dữ liệu được escape đúng cách khi render lại form",High
CRM_LOGIN_TC_017,Login,[Security] Email chứa mã SQL Injection nhằm bypass đăng nhập,Truy cập trang Login lần đầu,"1. Truy cập trang Login<br>2. Nhập Email: ' OR '1'='1' --<br>3. Nhập Password: 123456<br>4. Nhấn nút ""Login""",Email: ' OR '1'='1' --; Password: 123456,"4. Hệ thống KHÔNG cho đăng nhập thành công, hiển thị lỗi định dạng email hoặc ""Invalid email or password"", không xảy ra lỗi hệ thống (500) hay bypass xác thực",Critical
CRM_LOGIN_TC_018,Login,[Security] Password chứa mã SQL Injection nhằm bypass đăng nhập,Tài khoản admin@example.com tồn tại trên hệ thống,"1. Truy cập trang Login<br>2. Nhập Email: admin@example.com<br>3. Nhập Password: ' OR '1'='1' --<br>4. Nhấn nút ""Login""",Email: admin@example.com; Password: ' OR '1'='1' --,"4. Hệ thống KHÔNG cho đăng nhập thành công (không bị bypass qua SQLi), hiển thị lỗi ""Invalid email or password""",Critical
CRM_LOGIN_TC_019,Login,[Validation Password] Password chỉ chứa khoảng trắng (whitespace-only),Tài khoản admin@example.com tồn tại trên hệ thống,"1. Truy cập trang Login<br>2. Nhập Email: admin@example.com<br>3. Nhập Password: ""     "" (5 khoảng trắng)<br>4. Nhấn nút ""Login""","Email: admin@example.com; Password: ""     ""","4. Hệ thống coi Password không hợp lệ — hiển thị lỗi ""The Password field is required."" (nếu server trim) hoặc ""Invalid email or password"" (nếu không trim), không cho đăng nhập",Medium
CRM_LOGIN_TC_020,Login,[Boundary] Password có độ dài rất lớn (~500 ký tự),Tài khoản admin@example.com tồn tại trên hệ thống,"1. Truy cập trang Login<br>2. Nhập Email: admin@example.com<br>3. Nhập Password: chuỗi ngẫu nhiên 500 ký tự<br>4. Nhấn nút ""Login""",Email: admin@example.com; Password: [chuỗi 500 ký tự ngẫu nhiên],"4. Hệ thống xử lý ổn định, không lỗi 500/crash; hiển thị ""Invalid email or password"" vì không khớp mật khẩu thật",Medium
CRM_LOGIN_TC_021,Login,[Validation Password] Password chứa ký tự Unicode/Emoji,Tài khoản admin@example.com tồn tại trên hệ thống,"1. Truy cập trang Login<br>2. Nhập Email: admin@example.com<br>3. Nhập Password: 🔒Mật khẩu测试123<br>4. Nhấn nút ""Login""",Email: admin@example.com; Password: 🔒Mật khẩu测试123,"4. Hệ thống chấp nhận input (không lỗi encoding/crash), hiển thị ""Invalid email or password"" vì không đúng mật khẩu thật",Low
CRM_LOGIN_TC_022,Login,[UI] Ký tự Password được ẩn (mask) khi nhập,Truy cập trang Login lần đầu,"1. Truy cập trang Login<br>2. Click vào trường Password, nhập: Test@123456",Password: Test@123456,"2. Ký tự nhập vào hiển thị dưới dạng dấu ẩn (●●●●●●●●●●), KHÔNG hiển thị dạng plain text",Medium
CRM_LOGIN_TC_023,Login,[UI] Dán (paste) giá trị vào trường Password,Truy cập trang Login lần đầu,"1. Copy chuỗi ""PasteTest_123456"" vào clipboard<br>2. Click vào trường Password trên trang Login<br>3. Paste (Ctrl+V) giá trị vừa copy vào trường Password",Password: PasteTest_123456,"3. Trường Password nhận đúng giá trị đã dán, thao tác paste KHÔNG bị chặn",Low
CRM_LOGIN_TC_024,Login,"[UI] Checkbox ""Remember me"" mặc định không được chọn khi tải trang",Truy cập trang Login lần đầu (chưa tương tác),"1. Truy cập trang Login<br>2. Quan sát trạng thái checkbox ""Remember me""",N/A,2. Checkbox ở trạng thái unchecked (mặc định),Low
CRM_LOGIN_TC_025,Login,"[UI] Tick/Untick checkbox ""Remember me"" hoạt động đúng",Truy cập trang Login lần đầu,"1. Truy cập trang Login<br>2. Click chọn (tick) checkbox ""Remember me""<br>3. Click bỏ chọn (untick) checkbox ""Remember me""",N/A,2. Checkbox chuyển sang trạng thái checked<br>3. Checkbox chuyển về trạng thái unchecked,Low
CRM_LOGIN_TC_026,Login,"[Navigation] Click liên kết ""Forgot Password?"" điều hướng đúng trang",Truy cập trang Login lần đầu,"1. Truy cập trang Login<br>2. Click vào liên kết ""Forgot Password?""",N/A,"2. Hệ thống điều hướng đến https://crm.anhtester.com/admin/authentication/forgot_password, hiển thị form ""Forgot Password"" với trường Email và nút ""Confirm""",Medium
